STATECENSUS,State,YEAR,observations,employment,members,covered
84,Colorado,2018,2125,2562343.31134166,281098.263541667,306932.903091667
84,Colorado,2019,2014,2634087.76151666,238503.111625,260140.789783333
84,Colorado,2020,1766,2471596.83036667,182645.359241667,202160.328575
85,"New Mexico",2016,2785,783572.120975,49254.1087166667,64339.2907666667
85,"New Mexico",2017,2582,769281.430724997,51624.751975,63313.2807916667
85,"New Mexico",2018,2455,812502.00265833,55336.205125,66315.7192083333
85,"New Mexico",2019,2402,812061.751091667,57601.0449333333,71808.178225
85,"New Mexico",2020,1993,742334.736575003,53133.9064833333,63753.2856666667
86,Arizona,2016,2555,2727866.37417501,121797.29895,150555.823158333
86,Arizona,2017,2340,2804948.97713334,111840.134716667,145793.710758333
86,Arizona,2018,2489,2944673.60426666,156621.675775,190966.668908333
86,Arizona,2019,2406,3027918.54814168,173812.259833333,214284.691583333
86,Arizona,2020,2168,2907798.10536667,154523.6328,206667.730116667
87,Utah,2016,2679,1319714.54227501,62027.4666416666,79160.0356333333
87,Utah,2017,2633,1373910.72653334,54082.9424666667,74235.0369083333
87,Utah,2018,2580,1343387.52518334,55633.7811333333,75857.0604166666
87,Utah,2019,2683,1406118.63521667,61467.362575,83201.228475
87,Utah,2020,2447,1403750.248425,51074.593375,75246.693725
88,Nevada,2016,2029,1213562.10043333,146225.4963,181771.374291667
88,Nevada,2017,2099,1290685.33845834,164286.844625,188601.736766667
88,Nevada,2018,2145,1377051.78956667,190774.387783333,215462.664333334
88,Nevada,2019,2116,1378726.80553333,200666.534291667,221338.865041667
88,Nevada,2020,1719,1209985.94033334,161575.369675,186057.130508333
91,Washington,2016,2881,3090426.696625,538351.837358334,576362.485258334
91,Washington,2017,2949,3109829.77521667,582749.165883334,628851.264175
91,Washington,2018,3015,3273608.08699168,648139.442625,669914.084358333
91,Washington,2019,3054,3392854.77931666,637877.656808333,684202.27745
91,Washington,2020,2700,3204697.30507501,557128.144258334,596422.666225
92,Oregon,2016,2408,1689979.91456667,227743.412041666,266599.200483333
92,Oregon,2017,2414,1761898.19345,262325.536916666,277229.907008333
92,Oregon,2018,2274,1740902.429575,241150.429291667,255192.629425
92,Oregon,2019,2343,1772417.64135833,254959.402633333,277031.384433333
92,Oregon,2020,2174,1691570.6302,274074.863333333,291549.941533333
93,California,2016,13786,16007243.9928416,2549644.78796666,2795362.46074166
93,California,2017,13552,16063818.0979834,2489184.29666667,2704649.229475
93,California,2018,13404,16398370.4002001,2404888.44985833,2586603.03590833
93,California,2019,13173,16504474.0494167,2499478.58203334,2721644.01815834
93,California,2020,10839,15062871.3905,2438450.56179166,2651897.352425
94,Alaska,2016,1995,297008.339366667,54949.4169333333,58960.4159249999
94,Alaska,2017,1923,304027.135066666,54960.453225,58977.0237583334
94,Alaska,2018,1831,298974.255375,55148.4185083333,59864.0525833333
94,Alaska,2019,1711,282352.759958333,48363.4448333333,52810.2583833333
94,Alaska,2020,1578,280369.595008333,49281.3329416667,54544.9490166667
95,Hawaii,2016,2518,597237.581108333,118270.612341667,124293.574641667
95,Hawaii,2017,2495,604842.823549999,128896.083875,138494.212475
95,Hawaii,2018,2339,601008.297466667,138853.887716667,145836.823475
95,Hawaii,2019,2181,575156.046841668,134485.66635,146370.289633333
95,Hawaii,2020,1708,507164.944533332,119842.749841667,129922.616666667
